"edad","ocupacion","est_civil","nivel_educativo","contrato_meses","Cred_hipotecario","Cred_personal","Medio_contacto","Dia","Mes","duracion_seg","aceptacion_TC"
30,"desempleado","casado","primaria",21,"no","no","celular",19,"octubre",79,"no"
33,"empleado","casado","bachillerato",37,"si","si","celular",11,"mayo",220,"no"
35,"desempleado","soltero","universitario",52,"si","no","celular",16,"abril",185,"no"
30,"desempleado","casado","universitario",27,"si","si","chat",3,"junio",199,"no"
59,"informal","casado","bachillerato",6,"si","si","chat",5,"mayo",226,"no"
35,"desempleado","soltero","universitario",29,"no","si","celular",23,"febrero",141,"no"
36,"independiente","casado","universitario",38,"si","si","celular",14,"mayo",341,"no"
39,"independiente","casado","bachillerato",42,"si","si","celular",6,"mayo",151,"no"
41,"independiente","casado","universitario",67,"si","no","chat",14,"mayo",57,"no"
43,"empleado","casado","primaria",62,"si","si","celular",17,"abril",313,"no"
39,"empleado","casado","bachillerato",64,"si","no","chat",20,"mayo",273,"no"
43,"independiente","casado","bachillerato",36,"si","no","celular",17,"abril",113,"no"
36,"independiente","casado","universitario",45,"si","si","celular",13,"agosto",328,"no"
20,"estudiante","soltero","bachillerato",52,"no","no","celular",30,"abril",261,"si"
31,"informal","casado","bachillerato",9,"si","si","celular",29,"enero",89,"no"
40,"desempleado","casado","universitario",8,"no","si","celular",29,"agosto",189,"no"
56,"independiente","casado","bachillerato",40,"si","si","celular",27,"agosto",239,"no"
37,"independiente","soltero","universitario",18,"si","no","celular",20,"abril",114,"no"
25,"informal","soltero","primaria",53,"si","si","chat",23,"mayo",250,"no"
31,"empleado","casado","bachillerato",63,"no","no","celular",7,"julio",148,"no"
38,"desempleado","divorciado","tecnico",49,"si","si","celular",18,"noviembre",96,"no"
42,"empleado","divorciado","universitario",40,"no","no","celular",19,"noviembre",140,"si"
44,"empleado","soltero","bachillerato",2,"si","si","chat",12,"junio",109,"no"
44,"independiente","casado","bachillerato",67,"si","si","celular",7,"julio",125,"no"
26,"ama(o)_de_casa","casado","universitario",6,"si","no","celular",30,"enero",169,"no"
41,"empleado","casado","universitario",20,"no","no","celular",20,"noviembre",182,"si"
55,"informal","casado","primaria",26,"si","si","chat",5,"mayo",247,"no"
67,"pensionado","casado","tecnico",35,"no","no","telefono",17,"agosto",119,"si"
56,"independiente","casado","bachillerato",24,"no","si","celular",30,"julio",149,"si"
53,"independiente","casado","bachillerato",19,"si","si","celular",21,"agosto",74,"no"
68,"pensionado","divorciado","bachillerato",52,"no","no","telefono",14,"julio",897,"si"
31,"independiente","casado","bachillerato",8,"no","si","celular",27,"agosto",81,"no"
59,"desempleado","casado","bachillerato",2,"si","si","celular",21,"noviembre",40,"no"
32,"empleado","soltero","universitario",20,"si","no","celular",26,"agosto",958,"si"
49,"independiente","casado","universitario",37,"no","no","celular",13,"agosto",354,"si"
42,"independiente","divorciado","bachillerato",6,"si","si","chat",14,"mayo",150,"no"
78,"pensionado","divorciado","primaria",8,"no","no","telefono",22,"octubre",97,"si"
32,"informal","casado","bachillerato",19,"si","no","celular",14,"noviembre",132,"si"
33,"empleado","casado","bachillerato",43,"si","no","celular",6,"mayo",765,"si"
23,"empleado","soltero","universitario",31,"si","no","chat",30,"mayo",16,"si"
38,"desempleado","soltero","universitario",13,"si","si","chat",17,"noviembre",609,"no"
36,"empleado","soltero","universitario",30,"no","no","celular",11,"agosto",106,"si"
52,"informal","casado","bachillerato",69,"si","no","celular",13,"mayo",365,"no"
32,"independiente","casado","universitario",10,"si","si","celular",13,"mayo",205,"no"
32,"independiente","soltero","universitario",25,"si","si","celular",21,"noviembre",11,"no"
34,"desempleado","soltero","universitario",37,"si","no","chat",7,"mayo",105,"no"
55,"informal","casado","primaria",29,"si","no","telefono",2,"febrero",59,"no"
26,"informal","casado","primaria",27,"si","si","chat",21,"mayo",425,"no"
32,"independiente","soltero","primaria",22,"si","si","celular",4,"febrero",204,"no"
61,"independiente","casado","tecnico",48,"si","no","celular",27,"enero",181,"si"
